Novos Códigos,Disciplina,Departamento da disciplina,Optativa,CH,CH EAD,Aulas teóricas semanais,Aulas práticas semanais,Código da disciplina atual equivalente (para aproveitamento e não criação de outra disciplina no sistema),Disciplina da matriz atual (ou de outros cursos) a ser utilizada para convalidação,Pré-requisito,Alterações com relação à matriz atual,Observação
EC48P,Internet das Coisas,DACOM,Sim,0,60,2,2,-,IF69V,7º Período,Disciplina nova,
EC48Q,Arquitetura de Software,DACOM,Sim,0,60,2,2,-,IF69K,7º Período,Disciplina nova,
EC48R,Lógica Reconfigurável,DAELE,Sim,0,60,2,2,,IF67E,7º Período,Alteração na ementa,
EC48S,Introdução a Projetos de Engenharia,DACOM,Sim,0,120,4,4,,,7º Período,Disciplina nova,
EC49A,Fundamentos de Engenharia de Segurança do Trabalho,DAELE,Sim,0,30,1,1,-,,7º Período,Disciplina nova,
EC49B,Expressão Gráfica,DAMEC,Sim,0,30,1,1,-,EC32E,7º Período,Disciplina nova,
EC49C,"Teoria de Termodinâmica, Fluidos e Ondas",DACIN,Sim,0,60,4,0,-,EC32F,"4º Período, EC42F",Alteração na ementa e carga horária,
EC49D,"Laboratório de Termodinâmica, Fluidos e Ondas",DACIN,Sim,0,30,0,2,-,EC32G,"4º Período, EC42F, EC43E",Alteração na ementa,
EC49E,Mecânica e Resistência dos Materiais,DAMEC,Sim,0,60,4,0,,EC33H,7º Período,Alteração na ementa,
EC49F,Fenômenos de Transporte,DAMEC,Sim,0,60,2,2,-,EC36H,7º Período,Alteração na ementa e carga horária,
EC49G,Química,DACIN,Sim,0,30,1,1,-,EC32H,7º Período,Alteração na ementa e carga horária,
